Abbreviation,Description,Reaction,GPR,Lower bound,Upper bound,Objective,Subsystem,References
r_4174,Probable ATP-dependent permease,s_3787  -> s_3788 ,YCR011C,0,Inf,0,,
r_4194,Zinc transporter YKE4,s_3822  -> s_3823 ,YIL023C,0,Inf,0,,
r_4195,Zinc transporter YKE4,s_4026  -> s_4027 ,YMR243C or YOR316C,0,Inf,0,,
r_4263,Anion/proton exchange transporter GEF1 (CLC protein GEF1) (ClC-A) (ClC-Y1) (Voltage-gated chloride channel) [Cleaved into: GEF1 N-terminal; GEF1 C-terminal],s_3926  -> s_3778 ,YJR040W,0,Inf,0,,
r_4325,"Iron sulfur cluster assembly protein 2, mitochondrial (Iron sulfur cluster scaffold protein 2)",s_4006 + s_4007  -> s_4008 ,YOR226C or YPL135W,0,Inf,0,,
r_4327,"Magnesium transporter MRS2, mitochondrial (RNA-splicing protein MRS2)",s_4013  -> s_4014 ,YOR334W or YPL060W,0,Inf,0,,
r_4329,Putative sulfate transporter YPR003C,s_1467  -> s_4016 ,YPR003C,0,Inf,0,,
r_4332,Protein PNS1 (pH nine-sensitive protein 1),s_0512  -> s_0513 ,YOR161C,0,Inf,0,,
r_4337,"Iron-sulfur clusters transporter ATM1, mitochondrial",s_0437 + s_0807 + s_4022  -> s_0397 + s_0799 + s_1326 + s_4023 ,YMR301C,0,Inf,0,,
r_4339,UDP-N-acetylglucosamine transporter YEA4,s_3764  -> s_4025 ,YEL004W,0,Inf,0,,
r_4341,glycerol 2-phosphate(2-) transport,s_4063  -> s_4062 ,,0,Inf,0,,
r_4342,Glycerol-2-phosphate phosphohydrolase,s_0803 + s_4062  -> s_0765 + s_1322 ,,0,Inf,0,,
r_4343,L-Threonine phosphate transport in via proton symport,s_0796 + s_4065  -> s_0794 + s_4064 ,,0,Inf,0,,
r_4344,acid phosphatase / phosphotransferase,s_0803 + s_4064  -> s_1045 + s_1322 ,,0,Inf,0,,
r_4345,alkaline phosphatase,s_0803 + s_4066  -> s_0790 + s_1322 ,,0,Inf,0,,
r_4346,Guanosine transport via proton symport,s_0796 + s_4067  -> s_0794 + s_4066 ,,0,Inf,0,,
r_4347,Guanosine 3'-phosphate phosphohydrolase,s_0803 + s_4068  -> s_0790 + s_1322 ,,0,Inf,0,,
r_4348,Guanosine transport via proton symport(for 3'-GMP),s_0796 + s_4069  -> s_0794 + s_4068 ,,0,Inf,0,,
r_4349,2-Phosphoglycolate transport in/out via proton symport,s_0796 + s_4070  -> s_0794 + s_4071 ,,0,Inf,0,,
r_4350,2-phosphoglycolate phosphohydrolase,s_0803 + s_4071  -> s_1322 + s_3997 ,,0,Inf,0,,
r_4351,alkaline phosphatase,s_0803 + s_4072  -> s_1322 + s_4073 ,,0,Inf,0,,
r_4352,cysteamine S-phosphate transport via proton symport,s_4075  -> s_4072 ,,0,Inf,0,,
r_4353,Cysteamine:oxygen oxidoreductase,s_1275 + s_4073  -> s_0794 + s_4076 ,,0,Inf,0,,
r_4354,hypotaurine:NAD+ oxidoreductase,s_0803 + s_1198 + s_4076  -> s_0794 + s_1203 + s_1471 ,,0,Inf,0,,
r_4355,2-aminobutanoate:2-oxoglutarate aminotransferase,s_0178 + s_0991  -> s_0180 + s_4079 ,,0,Inf,0,,
r_4356,2-aminobutyrate transport,s_0796 + s_4080  -> s_0794 + s_4079 ,,0,Inf,0,,
r_4357,alkaline phosphatase,s_0803 + s_4081  -> s_1322 + s_1556 ,,0,Inf,0,,
r_4358,Uridine 2'-phosphate transport in via proton symport,s_0796 + s_4082  -> s_0794 + s_4081 ,,0,Inf,0,,
r_4359,Uridine 3'-monophosphate phosphohydrolase,s_0803 + s_4083  -> s_1322 + s_1556 ,,0,Inf,0,,
r_4360,3'-UMP transport in via proton symport,s_0796 + s_4084  -> s_0794 + s_4083 ,,0,Inf,0,,
r_4361,Gly-Met transport via proton symport,s_0796 + s_4085  -> s_0794 + s_4086 ,YJR152W or YKR093W,0,Inf,0,,
r_4362,dipeptidase,s_0810 + s_4087  -> s_3758 + s_3839 ,,0,Inf,0,,
r_4363,R07420,s_4088  -> s_1322 + s_4089 ,,0,Inf,0,,
r_4364,N-phosphocreatine transport,s_0796 + s_4090  -> s_0794 + s_4088 ,,0,Inf,0,,
r_4365,creatinine transport,s_0796 + s_4091  -> s_0794 + s_4089 ,,0,Inf,0,,
r_4366,ATP:L-arginine Nomega-phosphotransferase,s_0394 + s_0794 + s_4092  -> s_0434 + s_0965 ,,0,Inf,0,,
r_4367,L-arginine phosphate transport in/out via proton symport,s_0796 + s_4093  -> s_0794 + s_4092 ,,0,Inf,0,,
r_4368,acid phosphatase / phosphotransferase,s_0803 + s_4096  -> s_1051 + s_1322 ,,0,Inf,0,,
r_4369,Tripolyphosphate transport in via proton symport,s_0796 + s_4099  -> s_0794 + s_4098 ,,0,Inf,0,,
r_4370,alkaline phosphatase,s_0803 + s_4100  -> s_0543 + s_1322 ,,0,Inf,0,,
r_4371,Cytidine- 2'- Monophosphate transport in via proton symport,s_0796 + s_4101  -> s_0794 + s_4100 ,,0,Inf,0,,
r_4372,cyclic phosphodiesterase,s_0803 + s_4102  -> s_0794 + s_4081 ,,0,Inf,0,,
r_4373,"2',3'-Cyclic UMP transport in via proton symport",s_0796 + s_4103  -> s_0794 + s_4102 ,,0,Inf,0,,
r_4374,3-Sulfino-L-alanine 4-carboxy-lyase,s_0803 + s_4104  -> s_0955 + s_1469 ,,0,Inf,0,,
r_4375,3-Sulfino-L-alanine transport via proton antiport,s_0796 + s_4105  -> s_0794 + s_4104 ,,0,Inf,0,,
r_4376,adenosine 3'-phosphate phosphohydrolase,s_0803 + s_4106  -> s_0386 + s_1322 ,,0,Inf,0,,
r_4377,3AMP transport via diffusion (extracellular to periplasm),s_4107  -> s_4106 ,,0,Inf,0,,
r_4378,alpha-glucosidase,s_0803 + s_4108  -> s_0553 + s_0563 ,,0,Inf,0,,
r_4379,Palatinose transport in via proton symport,s_0796 + s_4109  -> s_0794 + s_4108 ,,0,Inf,0,,
r_4380,Amino-Acid N-Acetyltransferase,s_0529 + s_0794 + s_4110  -> s_0373 + s_0981 ,,0,Inf,0,,
r_4381,Acetylcysteine transport via proton symport,s_0796 + s_4111  -> s_0794 + s_4110 ,,0,Inf,0,,
r_4382,thiosulfate:ferricytochrome-c oxidoreductase,2 s_0709 + s_4112  -> 2 s_0710 + 2 s_4113 ,,0,Inf,0,,
r_4383,etrathionate transport via diffusion,s_4114  -> s_4112 ,,0,Inf,0,,
r_4384,D-Gluconate:NADP+ 5-oxidoreductase,s_0794 + s_1212 + s_4117  -> s_1207 + s_3875 ,,0,Inf,0,,
r_4385,5-Dehydro-D-gluconate transport via proton symport,s_0796 + s_4118  -> s_0794 + s_4117 ,,0,Inf,0,,
r_4386,dipeptidase,s_0810 + s_4121  -> s_0977 + s_3759 ,,0,Inf,0,,
r_4387,ala-L-asp-L transport via proton symport,s_0796 + s_4119  -> s_0794 + s_4120 ,YJR152W or YKR093W,0,Inf,0,,
r_4388,cyclic phosphodiesterase,s_0803 + s_4126  -> s_0794 + s_4100 ,,0,Inf,0,,
r_4389,"2',3'-Cyclic CMP transport in via proton symport",s_0796 + s_4127  -> s_0794 + s_4126 ,,0,Inf,0,,
r_4390,beta-glucosidase (methyl-alpha-D-glucoside),s_0803 + s_4122  -> s_0563 + s_4123 ,,0,Inf,0,,
r_4391,Methanol diffusion,s_4123  -> s_4124 ,,0,Inf,0,,
r_4392,alpha-Methyl-D-glucoside transport via proton symport,s_0796 + s_4125  -> s_0794 + s_4122 ,,0,Inf,0,,
r_4393,ATP:D-tagatose 6-phosphotransferase,s_0434 + s_4128  -> s_0394 + s_0794 + s_4129 ,,0,Inf,0,,
r_4394,D-tagatose 6-phosphate 4-epimerase,s_4129  -> s_0557 ,,0,Inf,0,,
r_4395,D-tagatose uptake via diffusion,s_4130  -> s_4128 ,YDL245C or YDR342C or YDR343C or YDR345C or YEL069C or YFL011W or YHR092C or YHR094C or YHR096C or YJL214W or YJL219W or YJR158W or YMR011W or YNR072W or YOL156W,0,Inf,0,,
r_4396,Acetoacetate:CoA ligase (AMP-forming),s_0434 + s_0529 + s_4132  -> s_0367 + s_0423 + s_0633 ,,0,Inf,0,,
r_4397,N-Acyl-Aliphatic-L-Amino Acid Amidohydrolase,s_0803 + s_4134  -> s_0362 + s_1029 ,,0,Inf,0,,
r_4398,Ala-Gln transport via proton symport,s_0796 + s_4034  -> s_0794 + s_4035 ,YJR152W or YKR093W,0,Inf,0,,
r_4399,L-alanyl-L-glutamate transport in via proton symport,s_0794 + s_4038  -> s_0802 + s_4039 ,,0,Inf,0,,
r_4400,Maltodextrin glucosidase (maltotriose),s_0805 + s_4140  -> s_0565 + s_1106 ,,0,Inf,0,,
r_4401,Ala-Thr transport via proton symport,s_0794 + s_4041  -> s_0802 + s_4042 ,,0,Inf,0,,
r_4402,Ala-Thr transport via proton symport (extracellular to cytosol),s_0796 + s_4040  -> s_0794 + s_4041 ,YJR152W or YKR093W,0,Inf,0,,
r_4404,Gly-Asn transport via proton symport (extracellular to cytosol),s_0796 + s_4053  -> s_0794 + s_4054 ,YJR152W or YKR093W,0,Inf,0,,
r_4405,glycerol 1-phosphate transport,s_4049  -> s_4048 ,,0,Inf,0,,
r_4406,D-O-Phosphoserine transport in/out via proton symport,s_0796 + s_4078  -> s_0794 + s_4077 ,,0,Inf,0,,
r_4407,D-O-Phosphoserine phosphohydrolase,s_0803 + s_4077  -> s_1322 + s_3904 ,,0,Inf,0,,
r_4408,L-alanyl-L-glutamate transport in via proton symport,s_0796 + s_4037  -> s_0794 + s_4038 ,YJR152W or YKR093W,0,Inf,0,,
r_4409,L-alanyl-gamma-L-glutamate peptidase,s_0810 + s_4039  -> s_0996 + s_3759 ,,0,Inf,0,,
r_4410,3-oxalomalate glyoxylate-lyase (oxaloacetate-forming),s_4136  -> s_0779 + s_1271 ,,0,Inf,0,,
r_4411,L-cysteate bisulfite-lyase (deaminating),s_0803 + s_4138  -> s_0419 + s_1399 + s_1469 ,,0,Inf,0,,
r_4412,cyclic phosphodiesterase,s_0803 + s_4094  -> s_0794 + s_4066 ,,0,Inf,0,,
r_4413,deoxynucleotide 3'-phosphatase,s_0803 + s_4044  -> s_1322 + s_1493 ,,0,Inf,0,,
r_4414,cytosol nonspecific dipeptidase,s_0810 + s_4036  -> s_1002 + s_3759 ,,0,Inf,0,,
r_4415,Cytosol non-specific dipeptidase,s_0810 + s_4052  -> s_1009 + s_3759 ,,0,Inf,0,,
r_4416,Cytosol non-specific dipeptidase,s_0810 + s_4042  -> s_3759 + s_4043 ,,0,Inf,0,,
r_4417,Cytosol non-specific dipeptidase,s_0810 + s_4055  -> s_0972 + s_3839 ,,0,Inf,0,,
r_4418,Cytosol non-specific dipeptidase,s_0810 + s_4058  -> s_1002 + s_3839 ,,0,Inf,0,,
r_4419,L-Cysteate transport via proton symport,s_0796 + s_4139  -> s_0794 + s_4138 ,,0,Inf,0,,
r_4420,alpha-glucosidase,s_0805 + s_4131  -> s_0554 + s_0565 ,,0,Inf,0,,
r_4421,2-Hydroxyethanesulfonate transport via proton symport,s_0796 + s_4116  -> s_0794 + s_4115 ,,0,Inf,0,,
r_4422,3-Oxalomalate transport via proton symport,s_0796 + s_4137  -> s_0794 + s_4136 ,,0,Inf,0,,
r_4423,Gly-Met transport via proton symport,s_0794 + s_4086  -> s_0802 + s_4087 ,,0,Inf,0,,
r_4424,Gly-Gln transport via proton symport,s_0796 + s_4056  -> s_0794 + s_4057 ,YJR152W or YKR093W,0,Inf,0,,
r_4425,Gly-Gln transport via proton symport,s_0794 + s_4057  -> s_0802 + s_4058 ,,0,Inf,0,,
r_4426,Ala-Gln transport via proton symport,s_0794 + s_4035  -> s_0802 + s_4036 ,,0,Inf,0,,
r_4427,N-Acetylmethionine transport via proton symport,s_0796 + s_4135  -> s_0794 + s_4134 ,,0,Inf,0,,
r_4428,Phosphotyrosine transport via proton symport,s_0796 + s_4097  -> s_0794 + s_4096 ,,0,Inf,0,,
r_4429,Ala-His transport via proton symport,s_0796 + s_4050  -> s_0794 + s_4051 ,YJR152W or YKR093W,0,Inf,0,,
r_4430,Ala-His transport via proton symport,s_0794 + s_4051  -> s_0802 + s_4052 ,,0,Inf,0,,
r_4431,ala-L-asp-L transport via proton symport,s_0794 + s_4120  -> s_0802 + s_4121 ,,0,Inf,0,,
r_4432,FMNH2-dependent alkanesulfonate monooxygenase,s_0717 + s_1275 + s_4115  -> s_0714 + s_0775 + s_0794 + s_0803 + s_1469 ,,0,Inf,0,,
r_4433,thymidine 3-monophosphate transport,s_4045  -> s_4044 ,,0,Inf,0,,
r_4434,thymidine 5-monophosphate transport,s_4047  -> s_4046 ,,0,Inf,0,,
r_4436,nucleotide-specific phosphatase (thymidine 5'-monophosphate),s_0803 + s_4046  -> s_1322 + s_1493 ,,0,Inf,0,,
r_4437,Gly-Glu transport via proton symport (extracellular to cytosol),s_0796 + s_4059  -> s_0794 + s_4060 ,YJR152W or YKR093W,0,Inf,0,,
r_4438,Gly-Glu transport via proton symport (cytosol to vacuole),s_0794 + s_4060  -> s_0802 + s_4061 ,,0,Inf,0,,
r_4439,cytosol nonspecific dipeptidase,s_0810 + s_4061  -> s_0996 + s_3839 ,,0,Inf,0,,
r_4440,"L-methionine transport, vacuoluar",s_1029  -> s_3758 ,,0,Inf,0,,
r_4441,"L-threonine transport, vacuoluar",s_1045  -> s_4043 ,,0,Inf,0,,
r_4442,cysteamine exchange,s_4074  -> ,,0,Inf,0,,
r_4443,23cGMP transport via diffusion (extracellular to periplasm),s_4095  -> s_4094 ,,0,Inf,0,,
r_4444,D-Glycerate 2-phosphate transport in/out via proton symport,s_0796 + s_4141  -> s_0188 + s_0794 ,,0,Inf,0,,
r_4445,3-Phospho-D-glycerate transport in/out via proton symport,s_0796 + s_4142  -> s_0260 + s_0794 ,,0,Inf,0,,
r_4446,D-glucose 1-phosphate transport via diffusion,s_4145  -> s_0567 ,,0,Inf,0,,
r_4447,carbamoyl phosphate nuclear transport via diffusion,s_4146  -> s_0455 ,,0,Inf,0,,
r_4448,Met-Ala transport via proton symport (extracellular to cytosol),s_0796 + s_4143  -> s_0794 + s_4144 ,YJR152W or YKR093W,0,Inf,0,,
r_4449,Met-Ala transport via proton symport (cytosol to vacuole),s_0794 + s_4144  -> s_0802 + s_3757 ,,0,Inf,0,,
r_4450,O-Phospho-L-serine transport in via proton symport,s_0796 + s_4147  -> s_0259 + s_0794 ,,0,Inf,0,,
r_4451,GMP transport via proton symport,s_0796 + s_4148  -> s_0782 + s_0794 ,,0,Inf,0,,
r_4452,myo-inositol phosphate transport via diffusion (extracellular to periplasm),s_4149  -> s_1158 ,,0,Inf,0,,
r_4453,D-glucose 6-phosphate transport,s_4150  -> s_0568 ,,0,Inf,0,,
r_4454,UMP transport,s_4151  -> s_1545 ,,0,Inf,0,,
r_4455,Phosphoenolpyruvate transport in via proton symport,s_0796 + s_4152  -> s_0794 + s_1360 ,,0,Inf,0,,
r_4456,Mannose 6-phosphate transport via diffusion (extracellular to periplasm),s_4153  -> s_0574 ,,0,Inf,0,,
r_4458,6-Phospho-D-gluconate transport in/out via proton symport,s_0796 + s_4155  -> s_0340 + s_0794 ,,0,Inf,0,,
r_4459,MAN1P transport in/out via proton symport,s_0796 + s_4156  -> s_0573 + s_0794 ,,0,Inf,0,,
r_4460,Pyrophosphate transport in via proton symport,2 s_0796 + s_4157  -> s_0633 + 2 s_0794 ,,0,Inf,0,,
r_4461,Choline phosphate intracellular transport,s_4158  -> s_0514 ,,0,Inf,0,,
r_4462,thiosulfate transport,s_4159  -> s_4113 ,,0,Inf,0,,
r_4463,AMP transport in/out via proton symport,s_0796 + s_4160  -> s_0423 + s_0794 ,,0,Inf,0,,
r_4464,23cAMP transport via diffusion (extracellular to periplasm),s_4161  -> s_0131 ,,0,Inf,0,,
r_4465,Adenosine- 2'-Monophosphate transport in via proton symport,s_0796 + s_4162  -> s_0389 + s_0794 ,,0,Inf,0,,
r_4466,CMP transport in/out via proton symport,s_0796 + s_4163  -> s_0526 + s_0794 ,,0,Inf,0,,
r_4467,D-glucosamine transport via diffusion (extracellular to periplasm),s_4164  -> s_3953 ,,0,Inf,0,,
r_4468,2-deoxy-D-ribose transport,s_4165  -> s_0152 ,YDR342C or YHR092C,0,Inf,0,,
r_4469,L-Citrulline transport in via proton symport,s_0796 + s_4166  -> s_0794 + s_0979 ,YKR039W,0,Inf,0,,
r_4470,Dihydroxyacetone transport via facilitated diffusion,s_4167  -> s_0771 ,,0,Inf,0,,
r_4471,Ala-Leu transport via proton symport (extracellular to cytosol),s_0796 + s_4168  -> s_0794 + s_4169 ,YJR152W or YKR093W,0,Inf,0,,
r_4472,Ala-Leu transport via proton symport (cytosol to vacuole),s_0794 + s_4169  -> s_0802 + s_3840 ,,0,Inf,0,,
r_4473,L-alanylglycine transport via proton antiport,s_0796 + s_4170  -> s_0794 + s_4171 ,YJR152W or YKR093W,0,Inf,0,,
r_4474,L-alanylglycine transport via proton antiport,s_0794 + s_4171  -> s_0802 + s_3838 ,,0,Inf,0,,
r_4475,N-acetyl-L-glutamate transport,s_4172  -> s_4173 ,,0,Inf,0,,
r_4476,N-acetyl-L-glutamate transport,s_4173  -> s_1192 ,,0,Inf,0,,
r_4477,Lipoamide transport via proton symport,s_0796 + s_4174  -> s_0794 + s_4175 ,,0,Inf,0,,
r_4478,L-methionine S-oxide transport via diffusion (extracellular),s_4176  -> s_3837 ,,0,Inf,0,,
r_4479,Gly-Asn transport via proton symport,s_0794 + s_4054  -> s_0802 + s_4055 ,,0,Inf,0,,
r_4480,Cysteamine transport via proton antiport,s_0796 + s_4074  -> s_0794 + s_4073 ,,0,Inf,0,,
r_4481,Hydrogen sulfide oxidation,s_0841 + 2 s_1275  -> s_0794 + s_1467 ,,0,Inf,0,,
r_4482,L-alanine transport in via proton symport,s_0794 + s_0955  -> s_0802 + s_3759 ,,0,Inf,0,,
r_4483,Glycine transport (vacuole),s_0794 + s_1003  -> s_0802 + s_3839 ,,0,Inf,0,,
r_4485,"4-Hydroxyphenylpyruvate:oxygen oxidoreductase (hydroxylating,decarboxylating)",s_0204 + s_1275  -> s_0456 + s_4177 ,,0,Inf,0,,
r_4486,"Homogentisate:oxygen 1,2-oxidoreductase (decyclizing)",s_1275 + s_4177  -> s_0794 + s_4178 ,,0,Inf,0,,
r_4487,4-Maleylacetoacetate cis-trans-isomerase,s_4178  -> s_4179 ,,0,Inf,0,,
r_4488,4-fumarylacetoacetate fumarylhydrolase,s_0803 + s_4179  -> s_0725 + s_0794 + s_4132 ,,0,Inf,0,,
r_4489,L-arabinitol:NAD+ 4-oxidoreductase (L-xylulose-forming),s_0961 + s_1198  -> s_0794 + s_1203 + s_4180 ,,0,Inf,0,,
r_4490,Xylitol:NADP+ 4-oxidoreductase (L-xylulose-forming),s_0794 + s_1212 + s_4180  -> s_1207 + s_1566 ,,0,Inf,0,,
r_4491,arabinose reductase (D-arabinose),s_0548 + s_0794 + s_1212  -> s_1207 + s_4181 ,,0,Inf,0,,
r_4492,D-arabinitol:NAT 4-oxidoreductase,s_1198 + s_4181  -> s_0580 + s_0794 + s_1203 ,,0,Inf,0,,
r_4493,Acetoacetate transport via diffusion,s_4133  -> s_4132 ,YNL065W,0,Inf,0,,
r_4494,methanol exchange,s_4124  -> ,,0,Inf,0,,
r_4495,alkaline phosphatase,s_0389 + s_0803  -> s_0386 + s_1322 ,,0,Inf,0,,
r_4496,Ala-Gly exchange,s_4170  -> ,,0,Inf,0,,
r_4497,3-oxalomalate(3-) exchange,s_4137  -> ,,0,Inf,0,,
r_4498,6-O-alpha-D-glucopyranosyl-D-fructofuranose exchange,s_4109  -> ,,0,Inf,0,,
r_4499,5-dehydro-D-gluconate exchange,s_4118  -> ,,0,Inf,0,,
r_4500,D-tagatose exchange,s_4130  -> ,,0,Inf,0,,
r_4501,turanose exchange,s_4131  -> ,,0,Inf,0,,
r_4502,D-glucose 6-phosphate exchange,s_4150  -> ,,0,Inf,0,,
r_4503,alpha-maltotriose exchange,s_4140  -> ,,0,Inf,0,,
r_4504,D-glucose 1-phosphate exchange,s_4145  -> ,,0,Inf,0,,
r_4505,methyl alpha-D-glucopyranoside exchange,s_4125  -> ,,0,Inf,0,,
r_4506,D-Glucosamine exchange,s_4164  -> ,,0,Inf,0,,
r_4507,glycerone exchange,s_4167  -> ,,0,Inf,0,,
r_4508,Ala-Gln exchange,s_4034  -> ,,0,Inf,0,,
r_4509,Ala-Leu exchange,s_4168  -> ,,0,Inf,0,,
r_4510,Gly-Gln exchange,s_4056  -> ,,0,Inf,0,,
r_4511,Ala-His exchange,s_4050  -> ,,0,Inf,0,,
r_4512,Gly-Asn exchange,s_4053  -> ,,0,Inf,0,,
r_4513,Ala-Glu exchange,s_4037  -> ,,0,Inf,0,,
r_4514,Gly-Met exchange,s_4085  -> ,,0,Inf,0,,
r_4515,Ala-Asp exchange,s_4119  -> ,,0,Inf,0,,
r_4516,Gly-Glu exchange,s_4059  -> ,,0,Inf,0,,
r_4517,Ala-Thr exchange,s_4040  -> ,,0,Inf,0,,
r_4518,Met-Ala exchange,s_4143  -> ,,0,Inf,0,,
r_4519,L-citrulline exchange,s_4166  -> ,,0,Inf,0,,
r_4520,2-aminobutanoate exchange,s_4080  -> ,,0,Inf,0,,
r_4521,choline phosphate exchange,s_4158  -> ,,0,Inf,0,,
r_4522,glycerol 1-phosphate exchange,s_4049  -> ,,0,Inf,0,,
r_4523,2-phospho-D-glyceric acid exchange,s_4141  -> ,,0,Inf,0,,
r_4524,GMP exchange,s_4148  -> ,,0,Inf,0,,
r_4525,3-phospho-serine exchange,s_4147  -> ,,0,Inf,0,,
r_4526,O-phosphonatooxy-D-serine(2-) exchange,s_4078  -> ,,0,Inf,0,,
r_4527,diphosphate exchange,s_4157  -> ,,0,Inf,0,,
r_4528,triphosphate exchange,s_4099  -> ,,0,Inf,0,,
r_4529,phosphoenolpyruvate exchange,s_4152  -> ,,0,Inf,0,,
r_4530,N(omega)-phospho-L-arginine exchange,s_4093  -> ,,0,Inf,0,,
r_4531,carbamoyl phosphate exchange,s_4146  -> ,,0,Inf,0,,
r_4532,O-phosphoethanolamine exchange,s_4154  -> ,,0,Inf,0,,
r_4533,cysteamine S-phosphate exchange,s_4075  -> ,,0,Inf,0,,
r_4534,guanosine 2'-monophosphate exchange,s_4067  -> ,,0,Inf,0,,
r_4535,glycerol 2-phosphate(2-) exchange,s_4063  -> ,,0,Inf,0,,
r_4536,3'-GMP exchange,s_4069  -> ,,0,Inf,0,,
r_4537,2-phosphoglycolate exchange,s_4070  -> ,,0,Inf,0,,
r_4538,6-phospho-D-gluconate exchange,s_4155  -> ,,0,Inf,0,,
r_4539,D-mannose 6-phosphate exchange,s_4153  -> ,,0,Inf,0,,
r_4540,"2',3'-cyclic GMP exchange",s_4095  -> ,,0,Inf,0,,
r_4541,O(4)-phospho-L-tyrosine exchange,s_4097  -> ,,0,Inf,0,,
r_4542,O-phospho-L-threonine exchange,s_4065  -> ,,0,Inf,0,,
r_4543,3-phosphonato-D-glycerate(3-) exchange,s_4142  -> ,,0,Inf,0,,
r_4544,adenosine 2'-phosphate exchange,s_4162  -> ,,0,Inf,0,,
r_4545,3'-AMP exchange,s_4107  -> ,,0,Inf,0,,
r_4546,"2',3'-cyclic AMP exchange",s_4161  -> ,,0,Inf,0,,
r_4547,D-mannose 1-phosphate exchange,s_4156  -> ,,0,Inf,0,,
r_4548,AMP exchange,s_4160  -> ,,0,Inf,0,,
r_4549,N(alpha)-acetyl-L-methionine exchange,s_4135  -> ,,0,Inf,0,,
r_4550,L-Methionine S-oxide exchange,s_4176  -> ,,0,Inf,0,,
r_4551,3-sulfino-L-alanine exchange,s_4105  -> ,,0,Inf,0,,
r_4552,N-acetyl-L-cysteine exchange,s_4111  -> ,,0,Inf,0,,
r_4553,L-cysteate exchange,s_4139  -> ,,0,Inf,0,,
r_4554,2-hydroxyethane-1-sulfonate exchange,s_4116  -> ,,0,Inf,0,,
r_4555,acetoacetate exchange,s_4133  -> ,,0,Inf,0,,
r_4556,N-acetyl-L-glutamate exchange,s_4172  -> ,,0,Inf,0,,
r_4557,UMP exchange,s_4151  -> ,,0,Inf,0,,
r_4558,CMP exchange,s_4163  -> ,,0,Inf,0,,
r_4559,thymidine 5'-monophosphate exchange,s_4047  -> ,,0,Inf,0,,
r_4560,thymidine 3'-monophosphate exchange,s_4045  -> ,,0,Inf,0,,
r_4561,cytidine 2'-phosphate exchange,s_4101  -> ,,0,Inf,0,,
r_4562,uridine 2'-phosphate exchange,s_4082  -> ,,0,Inf,0,,
r_4563,3'-UMP exchange,s_4084  -> ,,0,Inf,0,,
r_4564,"2',3'-cyclic CMP exchange",s_4127  -> ,,0,Inf,0,,
r_4565,"2',3'-cyclic UMP exchange",s_4103  -> ,,0,Inf,0,,
r_4566,ATP:D-Gluconate 6-phosphotransferase,s_0340 + s_0394 + s_0794  -> s_0434 + s_3875 ,,0,Inf,0,,
r_4567,6-phosphogluconate phosphatase,s_0340  -> s_1322 + s_3875 ,,0,Inf,0,,
r_4568,R06790,s_0794 + s_1321  -> s_4194 ,,0,Inf,0,,
r_4569,Carboxylic ester hydrolases,s_0362 + s_0794 + s_4195  -> s_0803 + s_4194 ,,0,Inf,0,,
r_4570,phosphoglycerate dehydrogenase,s_1198 + s_4182  -> s_0180 + s_0794 + s_1203 ,,0,Inf,0,,
r_4571,seed:rxn00681,s_4182  -> s_0779 + 3 s_0794 + s_4183 ,,0,Inf,0,,
r_4572,beta-alanine:2-oxoglutarate aminotransferase,s_0180 + s_0441  -> s_0991 + s_4184 ,,0,Inf,0,,
r_4573,"3-Oxopropanoate:NAD+ oxidoreductase (decarboxylating, CoA-acetylating)",s_0529 + s_1198 + s_4184  -> s_0373 + s_0456 + s_1203 ,,0,Inf,0,,
r_4574,"3-Oxopropanoate:NADP+ oxidoreductase (decarboxylating, CoA-acetylating)",s_0529 + s_1207 + s_4184  -> s_0373 + s_0456 + s_1212 ,,0,Inf,0,,
r_4575,3-oxopropanoate carboxy-lyase,s_0794 + s_4184  -> s_0359 + s_0456 ,,0,Inf,0,,
r_4576,"(R)-2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)",s_1207 + s_4185  -> s_0794 + s_1212 + s_4186 ,,0,Inf,0,,
r_4577,"Dihydroxy-acid dehydratase, mitochondrial",s_0232  -> s_4186 ,,0,Inf,0,,
r_4578,"Ketol-acid reductoisomerase, mitochondrial",s_1212 + s_4187  -> s_0794 + s_1207 + s_4186 ,,0,Inf,0,,
r_4579,pyruvate:pyruvate acetaldehydetransferase (decarboxylating); (S)-2-acetolactate pyruvate-lyase (carboxylating),s_0794 + 2 s_1399  -> s_0456 + s_4188 ,,0,Inf,0,,
r_4580,"(R)-2,3-dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)",s_1207 + s_4185  -> s_0794 + s_1212 + s_4188 ,,0,Inf,0,,
r_4581,"(2R,3S)-3-methylmalate:NAD+ oxidoreductase",s_1198 + s_4189  -> s_0178 + s_0456 + s_1203 ,,0,Inf,0,,
r_4582,malate/beta-methylmalate synthase,s_0779 + s_0803 + s_4183  -> s_0529 + s_0794 + s_4189 ,,0,Inf,0,,
r_4583,palmitoyl-CoA hydrolase,s_0803 + s_4190  -> s_0529 + s_0794 + s_4191 ,,0,Inf,0,,
r_4584,long-chain-fatty-acid---CoA ligase,s_0434 + s_0529 + s_4191  -> s_0423 + s_0633 + s_4190 ,,0,Inf,0,,
r_4585,a-galactosidase (stachyose),s_0803 + s_4192  -> s_0558 + s_4193 ,,0,Inf,0,,
